depth,width,n_params,seed,final_train_acc,final_test_acc,final_train_loss,actual_epochs,flops_per_epoch,optimization_failure,loss_ep10,loss_ep20,loss_ep30,loss_ep60,regime,budget,fixed_w,corruption,param_err_pct
2,58,49774,42,0.9957,0.8423,0.02449,64,988320000,False,0.28663,0.2094,0.19449,0.03421,iso_param,50000.0,,0.0,0.4519999999999999
2,58,49774,123,0.9995,0.8455,0.01149,83,988320000,False,0.29636,0.23352,0.15727,0.01773,iso_param,50000.0,,0.0,0.4519999999999999
2,58,49774,7,0.9999,0.843,0.00834,94,988320000,False,0.27644,0.23017,0.12592,0.034,iso_param,50000.0,,0.0,0.4519999999999999
2,58,49774,17,0.9807,0.8422,0.05944,60,988320000,False,0.25813,0.18565,0.09802,0.05944,iso_param,50000.0,,0.0,0.4519999999999999
2,58,49774,99,1.0,0.8415,0.0082,90,988320000,False,0.28301,0.20312,0.20122,0.03488,iso_param,50000.0,,0.0,0.4519999999999999
2,58,49774,256,1.0,0.8449,0.00622,104,988320000,False,0.3277,0.20077,0.10346,0.02443,iso_param,50000.0,,0.0,0.4519999999999999
2,58,49774,42,0.9933,0.7808,0.0448,120,988320000,False,0.6929,0.53986,0.44065,0.1761,iso_param,50000.0,,0.1,0.4519999999999999
2,58,49774,123,0.996,0.7756,0.03474,120,988320000,False,0.70032,0.56151,0.42079,0.14916,iso_param,50000.0,,0.1,0.4519999999999999
2,58,49774,7,0.9946,0.7809,0.0395,120,988320000,False,0.70018,0.53174,0.39527,0.13471,iso_param,50000.0,,0.1,0.4519999999999999
2,58,49774,17,0.9945,0.786,0.03849,112,988320000,False,0.70751,0.51204,0.49505,0.13149,iso_param,50000.0,,0.1,0.4519999999999999
2,58,49774,99,0.9964,0.784,0.03433,119,988320000,False,0.72976,0.5407,0.38688,0.17731,iso_param,50000.0,,0.1,0.4519999999999999
2,58,49774,256,0.9945,0.7801,0.04254,120,988320000,False,0.69878,0.59649,0.51061,0.16458,iso_param,50000.0,,0.1,0.4519999999999999
2,58,49774,42,0.9659,0.6623,0.17452,120,988320000,False,1.26199,1.06603,0.87211,0.42075,iso_param,50000.0,,0.3,0.4519999999999999
2,58,49774,123,0.9671,0.6396,0.16523,120,988320000,False,1.27472,1.04231,0.92123,0.43971,iso_param,50000.0,,0.3,0.4519999999999999
2,58,49774,7,0.9647,0.647,0.18166,120,988320000,False,1.25335,1.06127,0.88632,0.45659,iso_param,50000.0,,0.3,0.4519999999999999
2,58,49774,17,0.9709,0.6524,0.16467,120,988320000,False,1.24729,1.08436,0.91889,0.40622,iso_param,50000.0,,0.3,0.4519999999999999
2,58,49774,99,0.9674,0.6523,0.16379,120,988320000,False,1.28518,1.10078,0.9015,0.41521,iso_param,50000.0,,0.3,0.4519999999999999
2,58,49774,256,0.9621,0.6504,0.17852,117,988320000,False,1.27524,1.1205,0.91723,0.42255,iso_param,50000.0,,0.3,0.4519999999999999
2,58,49774,42,0.8983,0.4411,0.42837,120,988320000,False,1.80713,1.73407,1.43883,0.83917,iso_param,50000.0,,0.6,0.4519999999999999
2,58,49774,123,0.903,0.4389,0.41356,120,988320000,False,1.8155,1.56497,1.3675,0.80036,iso_param,50000.0,,0.6,0.4519999999999999
2,58,49774,7,0.897,0.4247,0.43952,119,988320000,False,1.83365,1.62841,1.43148,0.83936,iso_param,50000.0,,0.6,0.4519999999999999
2,58,49774,17,0.904,0.447,0.42041,120,988320000,False,1.81756,1.59594,1.38924,0.88131,iso_param,50000.0,,0.6,0.4519999999999999
2,58,49774,99,0.9114,0.438,0.38722,120,988320000,False,1.81198,1.6089,1.39582,0.74982,iso_param,50000.0,,0.6,0.4519999999999999
2,58,49774,256,0.9019,0.4337,0.41703,120,988320000,False,1.80956,1.6741,1.32634,0.81377,iso_param,50000.0,,0.6,0.4519999999999999
2,58,49774,42,0.8536,0.0998,0.59152,120,988320000,False,2.16943,1.93695,1.79008,1.19519,iso_param,50000.0,,1.0,0.4519999999999999
2,58,49774,123,0.8497,0.0975,0.60189,120,988320000,False,2.14814,2.0033,1.69031,1.07194,iso_param,50000.0,,1.0,0.4519999999999999
2,58,49774,7,0.8438,0.093,0.61539,119,988320000,False,2.15218,1.96826,1.77589,1.05159,iso_param,50000.0,,1.0,0.4519999999999999
2,58,49774,17,0.8485,0.1057,0.60429,120,988320000,False,2.19439,1.95094,1.64464,1.06304,iso_param,50000.0,,1.0,0.4519999999999999
2,58,49774,99,0.8477,0.0991,0.60967,120,988320000,False,2.15645,1.96499,1.7399,1.05104,iso_param,50000.0,,1.0,0.4519999999999999
2,58,49774,256,0.8593,0.093,0.57356,120,988320000,False,2.12533,1.90188,1.69957,1.00231,iso_param,50000.0,,1.0,0.4519999999999999
4,51,48919,42,0.9999,0.8419,0.00374,93,965940000,False,0.27535,0.14641,0.11545,0.02246,iso_param,50000.0,,0.0,2.162
4,51,48919,123,0.997,0.8418,0.0169,64,965940000,False,0.30441,0.17721,0.09003,0.03669,iso_param,50000.0,,0.0,2.162
4,51,48919,7,1.0,0.8409,0.00324,89,965940000,False,0.27638,0.18023,0.08898,0.03691,iso_param,50000.0,,0.0,2.162
4,51,48919,17,0.9998,0.8384,0.00517,91,965940000,False,0.28802,0.17141,0.29644,0.02445,iso_param,50000.0,,0.0,2.162
4,51,48919,99,1.0,0.8465,0.00416,88,965940000,False,0.26132,0.19827,0.14181,0.03517,iso_param,50000.0,,0.0,2.162
4,51,48919,256,1.0,0.8446,0.00377,91,965940000,False,0.28463,0.1779,0.08301,0.02519,iso_param,50000.0,,0.0,2.162
4,51,48919,42,0.9974,0.768,0.02442,116,965940000,False,0.69949,0.55366,0.45372,0.15757,iso_param,50000.0,,0.1,2.162
4,51,48919,123,0.9965,0.7825,0.02588,120,965940000,False,0.67518,0.49453,0.34751,0.11189,iso_param,50000.0,,0.1,2.162
4,51,48919,7,0.9972,0.7795,0.02319,114,965940000,False,0.66491,0.54972,0.37091,0.11793,iso_param,50000.0,,0.1,2.162
4,51,48919,17,0.9973,0.7824,0.02424,120,965940000,False,0.68291,0.56559,0.38401,0.11986,iso_param,50000.0,,0.1,2.162
4,51,48919,99,0.9954,0.784,0.03307,113,965940000,False,0.71384,0.51666,0.45754,0.12536,iso_param,50000.0,,0.1,2.162
4,51,48919,256,0.9945,0.7802,0.03335,120,965940000,False,0.73615,0.56028,0.35733,0.12843,iso_param,50000.0,,0.1,2.162
4,51,48919,42,0.9737,0.6364,0.1287,117,965940000,False,1.25483,1.05477,0.88719,0.38607,iso_param,50000.0,,0.3,2.162
4,51,48919,123,0.9715,0.6451,0.14166,120,965940000,False,1.24308,1.05483,0.8587,0.40963,iso_param,50000.0,,0.3,2.162
4,51,48919,7,0.9713,0.6478,0.13281,120,965940000,False,1.26084,1.07239,0.85947,0.44685,iso_param,50000.0,,0.3,2.162
4,51,48919,17,0.974,0.6406,0.1259,120,965940000,False,1.24725,1.02893,0.9608,0.39152,iso_param,50000.0,,0.3,2.162
4,51,48919,99,0.9695,0.6441,0.1472,118,965940000,False,1.25667,1.05536,0.92469,0.38558,iso_param,50000.0,,0.3,2.162
4,51,48919,256,0.9716,0.6384,0.14006,120,965940000,False,1.22215,1.09938,0.8774,0.51099,iso_param,50000.0,,0.3,2.162
4,51,48919,42,0.9188,0.4112,0.34283,120,965940000,False,1.82091,1.61387,1.41125,0.80277,iso_param,50000.0,,0.6,2.162
4,51,48919,123,0.9216,0.4355,0.32654,120,965940000,False,1.81947,1.57641,1.36279,0.76157,iso_param,50000.0,,0.6,2.162
4,51,48919,7,0.9111,0.4257,0.34917,120,965940000,False,1.83716,1.6299,1.34896,0.86015,iso_param,50000.0,,0.6,2.162
4,51,48919,17,0.9117,0.4332,0.34709,120,965940000,False,1.84067,1.58606,1.41345,0.83528,iso_param,50000.0,,0.6,2.162
4,51,48919,99,0.9118,0.4404,0.35798,120,965940000,False,1.86482,1.67491,1.42076,0.83224,iso_param,50000.0,,0.6,2.162
4,51,48919,256,0.9174,0.426,0.33939,120,965940000,False,1.84384,1.63957,1.35416,0.85074,iso_param,50000.0,,0.6,2.162
4,51,48919,42,0.874,0.1149,0.49986,120,965940000,False,2.16627,1.961,1.69875,0.9965,iso_param,50000.0,,1.0,2.162
4,51,48919,123,0.8702,0.101,0.50524,120,965940000,False,2.15514,1.94885,1.68273,0.99143,iso_param,50000.0,,1.0,2.162
4,51,48919,7,0.876,0.0947,0.4856,120,965940000,False,2.15334,1.91613,1.77881,1.01684,iso_param,50000.0,,1.0,2.162
4,51,48919,17,0.8607,0.1015,0.51684,120,965940000,False,2.15264,1.95586,1.65894,1.01143,iso_param,50000.0,,1.0,2.162
4,51,48919,99,0.8604,0.1044,0.53716,120,965940000,False,2.19886,1.99808,1.81207,1.1562,iso_param,50000.0,,1.0,2.162
4,51,48919,256,0.8619,0.1026,0.53925,120,965940000,False,2.15917,1.9982,1.73801,0.99593,iso_param,50000.0,,1.0,2.162
6,47,49219,42,0.954,0.8255,0.13625,31,967260000,False,0.28783,0.17935,0.18371,,iso_param,50000.0,,0.0,1.562
6,47,49219,123,1.0,0.8376,0.00238,109,967260000,False,0.36371,0.22235,0.11275,0.04923,iso_param,50000.0,,0.0,1.562
6,47,49219,7,0.9998,0.8391,0.00277,105,967260000,False,0.29474,0.1672,0.12789,0.02894,iso_param,50000.0,,0.0,1.562
6,47,49219,17,0.9999,0.8335,0.00437,89,967260000,False,0.30195,0.18409,0.13075,0.02111,iso_param,50000.0,,0.0,1.562
6,47,49219,99,1.0,0.8383,0.0031,91,967260000,False,0.30013,0.20248,0.15996,0.01806,iso_param,50000.0,,0.0,1.562
6,47,49219,256,0.9784,0.831,0.05822,58,967260000,False,0.28698,0.24028,0.09432,,iso_param,50000.0,,0.0,1.562
6,47,49219,42,0.993,0.7798,0.04134,120,967260000,False,0.71519,0.59151,0.43245,0.18753,iso_param,50000.0,,0.1,1.562
